group,game,model,n,mean_correct,improvement_pct,sum_correct
digital,Digital Reveil 7h,freq_top5,1098,0.30601092896174864,10.163934426229506,336
digital,Digital Reveil 7h,freq_decay,1098,0.2877959927140255,3.6065573770491777,316
digital,Digital Reveil 7h,markov1,1098,0.2941712204007286,5.901639344262281,323
digital,Digital Reveil 7h,ml_logreg,1098,0.2877959927140255,3.6065573770491777,316
digital,Digital Reveil 7h,random_control,1098,0.2877959927140255,3.6065573770491777,316
digital,Digital Reveil 8h,freq_top5,413,0.29055690072639223,4.600484261501198,120
digital,Digital Reveil 8h,freq_decay,413,0.2736077481840194,-1.5012106537530223,113
digital,Digital Reveil 8h,markov1,413,0.32929782082324455,18.547215496368032,136
digital,Digital Reveil 8h,ml_logreg,413,0.29782082324455206,7.215496368038736,123
digital,Digital Reveil 8h,random_control,413,0.23002421307506055,-17.191283292978206,95
digital,Digital 21h,freq_top5,1098,0.33515482695810567,20.655737704918035,368
digital,Digital 21h,freq_decay,1098,0.3132969034608379,12.786885245901633,344
digital,Digital 21h,markov1,1098,0.30418943533697634,9.50819672131148,334
digital,Digital 21h,ml_logreg,1098,0.3087431693989071,11.147540983606556,339
digital,Digital 21h,random_control,1098,0.28233151183970856,1.6393442622950771,310
digital,Digital 22h,freq_top5,413,0.3171912832929782,14.188861985472142,131
digital,Digital 22h,freq_decay,413,0.28087167070217917,1.1138014527844953,116
digital,Digital 22h,markov1,413,0.29539951573849876,6.3438256658595495,122
digital,Digital 22h,ml_logreg,413,0.29055690072639223,4.600484261501198,120
digital,Digital 22h,random_control,413,0.29055690072639223,4.600484261501198,120
digital,Digital 23h,freq_top5,1098,0.29326047358834245,5.573770491803278,322
digital,Digital 23h,freq_decay,1098,0.2923497267759563,5.245901639344255,321
digital,Digital 23h,markov1,1098,0.29326047358834245,5.573770491803278,322
digital,Digital 23h,ml_logreg,1098,0.27231329690346084,-1.9672131147541005,299
digital,Digital 23h,random_control,1098,0.27140255009107467,-2.295081967213124,298
digital,Afterwork,freq_top5,153,0.30718954248366015,10.588235294117649,47
digital,Afterwork,freq_decay,153,0.3202614379084967,15.294117647058808,49
digital,Afterwork,markov1,153,0.17647058823529413,-36.470588235294116,27
digital,Afterwork,ml_logreg,153,0.27450980392156865,-1.17647058823529,42
digital,Afterwork,random_control,153,0.3006535947712418,8.235294117647049,46
control,Special Weekend 1h,freq_top5,290,0.32413793103448274,16.68965517241378,94
control,Special Weekend 1h,freq_decay,290,0.30689655172413793,10.482758620689651,89
control,Special Weekend 1h,markov1,290,0.25517241379310346,-8.13793103448276,74
control,Special Weekend 1h,ml_logreg,290,0.30689655172413793,10.482758620689651,89
control,Special Weekend 1h,random_control,290,0.2655172413793103,-4.413793103448289,77
control,Special Weekend 3h,freq_top5,290,0.2689655172413793,-3.172413793103459,78
control,Special Weekend 3h,freq_decay,290,0.27241379310344827,-1.9310344827586288,79
control,Special Weekend 3h,markov1,290,0.2517241379310345,-9.379310344827589,73
control,Special Weekend 3h,ml_logreg,290,0.27241379310344827,-1.9310344827586288,79
control,Special Weekend 3h,random_control,290,0.27586206896551724,-0.6896551724137989,80
control,Wari,freq_top5,132,0.2803030303030303,0.909090909090895,37
control,Wari,freq_decay,132,0.2803030303030303,0.909090909090895,37
control,Wari,markov1,132,0.2803030303030303,0.909090909090895,37
control,Wari,ml_logreg,132,0.3106060606060606,11.818181818181813,41
control,Wari,random_control,132,0.23484848484848486,-15.454545454545453,31
control,Soutra,freq_top5,130,0.25384615384615383,-8.615384615384624,33
control,Soutra,freq_decay,130,0.27692307692307694,-0.30769230769230654,36
control,Soutra,markov1,130,0.2846153846153846,2.4615384615384523,37
control,Soutra,ml_logreg,130,0.2923076923076923,5.230769230769232,38
control,Soutra,random_control,130,0.17692307692307693,-36.30769230769231,23
control,National,freq_top5,127,0.23622047244094488,-14.960629921259846,30
control,National,freq_decay,127,0.2283464566929134,-17.79527559055118,29
control,National,markov1,127,0.2047244094488189,-26.299212598425203,26
control,National,ml_logreg,127,0.31496062992125984,13.385826771653536,40
control,National,random_control,127,0.2677165354330709,-3.622047244094484,34
